Facility,Day,Count
DOE Library,4/5/18,3916
DOE Library,4/6/18,2523
DOE Library,4/7/18,1997
DOE Library,4/8/18,1688
DOE Library,4/9/18,3911
DOE Library,4/10/18,3377
DOE Library,4/11/18,3596
DOE Library,4/12/18,3411
DOE Library,4/13/18,3230
DOE Library,4/14/18,1857
DOE Library,4/15/18,1397
DOE Library,4/16/18,3467
DOE Library,4/17/18,3573
DOE Library,4/18/18,3633
DOE Library,4/19/18,3280
DOE Library,4/20/18,4091
DOE Library,4/21/18,5473
DOE Library,4/22/18,1789
DOE Library,4/23/18,3595
DOE Library,4/24/18,3538
DOE Library,4/25/18,3697
DOE Library,4/26/18,3776
DOE Library,4/27/18,3421
DOE Library,4/28/18,1755
DOE Library,4/29/18,1577
DOE Library,4/30/18,3389
DOE Library,5/1/18,3436
DOE Library,5/2/18,3766
DOE Library,5/3/18,3963
DOE Library,5/4/18,3993
DOE Library,5/5/18,2698
DOE Library,5/6/18,2021
DOE Library,5/7/18,3372
DOE Library,5/8/18,3276
DOE Library,5/9/18,3140
DOE Library,5/10/18,2904
DOE Library,5/11/18,3370
DOE Library,5/12/18,1740
DOE Library,5/13/18,39
DOE Library,5/14/18,1916
DOE Library,5/15/18,1974
DOE Library,5/16/18,1652
DOE Library,5/17/18,1790
DOE Library,5/18/18,1467
DOE Library,5/19/18,49
DOE Library,5/20/18,54
DOE Library,5/21/18,1682
DOE Library,5/22/18,1454
DOE Library,5/23/18,1435
DOE Library,5/24/18,1591
DOE Library,5/25/18,1361
DOE Library,5/26/18,47
DOE Library,5/27/18,47
DOE Library,5/28/18,55
DOE Library,5/29/18,1694
DOE Library,5/30/18,1473
DOE Library,5/31/18,1360
DOE Library,6/1/18,1398
DOE Library,6/2/18,85
DOE Library,6/3/18,42
DOE Library,6/4/18,1432
DOE Library,6/5/18,1564
DOE Library,6/6/18,1450
DOE Library,6/7/18,1388
DOE Library,6/8/18,1315
DOE Library,6/9/18,41
DOE Library,6/10/18,61
DOE Library,6/11/18,1592
DOE Library,6/12/18,1618
DOE Library,6/13/18,1498
DOE Library,6/14/18,1520
DOE Library,6/15/18,1321
DOE Library,6/16/18,43
DOE Library,6/17/18,47
DOE Library,6/18/18,1961
DOE Library,6/19/18,1982
DOE Library,6/20/18,2086
DOE Library,6/21/18,1853
DOE Library,6/22/18,1642
DOE Library,6/23/18,52
DOE Library,6/24/18,60
DOE Library,6/25/18,1745
DOE Library,6/26/18,1679
DOE Library,6/27/18,1788
DOE Library,6/28/18,1725
DOE Library,6/29/18,1637
DOE Library,6/30/18,62
DOE Library,7/1/18,60
DOE STACKS,7/1/17,13
DOE STACKS,7/2/17,12
DOE STACKS,7/3/17,691
DOE STACKS,7/4/17,10
DOE STACKS,7/5/17,591
DOE STACKS,7/6/17,592
DOE STACKS,7/7/17,483
DOE STACKS,7/8/17,355
DOE STACKS,7/9/17,294
DOE STACKS,7/10/17,591
DOE STACKS,7/11/17,536
DOE STACKS,7/12/17,563
DOE STACKS,7/13/17,511
DOE STACKS,7/14/17,387
DOE STACKS,7/15/17,250
DOE STACKS,7/16/17,227
DOE STACKS,7/17/17,597
DOE STACKS,7/18/17,642
DOE STACKS,7/19/17,592
DOE STACKS,7/20/17,552
DOE STACKS,7/21/17,411
DOE STACKS,7/22/17,233
DOE STACKS,7/23/17,325
DOE STACKS,7/24/17,650
DOE STACKS,7/25/17,668
DOE STACKS,7/26/17,661
DOE STACKS,7/27/17,547
DOE STACKS,7/28/17,417
DOE STACKS,7/29/17,259
DOE STACKS,7/30/17,319
DOE STACKS,7/31/17,613
DOE STACKS,8/1/17,666
DOE STACKS,8/2/17,506
DOE STACKS,8/3/17,499
DOE STACKS,8/4/17,412
DOE STACKS,8/5/17,355
DOE STACKS,8/6/17,177
DOE STACKS,8/7/17,379
DOE STACKS,8/8/17,802
DOE STACKS,8/9/17,830
DOE STACKS,8/10/17,589
DOE STACKS,8/11/17,341
DOE STACKS,8/12/17,12
DOE STACKS,8/13/17,7
DOE STACKS,8/14/17,392
DOE STACKS,8/15/17,362
DOE STACKS,8/16/17,666
DOE STACKS,8/17/17,645
DOE STACKS,8/18/17,576
DOE STACKS,8/19/17,7
DOE STACKS,8/20/17,13
DOE STACKS,8/21/17,804
DOE STACKS,8/22/17,952
DOE STACKS,8/23/17,1520
DOE STACKS,8/24/17,1484
DOE STACKS,8/25/17,1205
DOE STACKS,8/26/17,776
DOE STACKS,8/27/17,582
DOE STACKS,8/28/17,1904
DOE STACKS,8/29/17,1737
DOE STACKS,8/30/17,1709
DOE STACKS,8/31/17,1502
DOE STACKS,9/1/17,1476
DOE STACKS,9/2/17,1896
DOE STACKS,9/3/17,1236
DOE STACKS,9/4/17,10
DOE STACKS,9/5/17,2162
DOE STACKS,9/6/17,1972
DOE STACKS,9/7/17,2120
DOE STACKS,9/8/17,1601
DOE STACKS,9/9/17,1516
DOE STACKS,9/10/17,1628
DOE STACKS,9/11/17,2723
DOE STACKS,9/12/17,2572
DOE STACKS,9/13/17,2758
DOE STACKS,9/14/17,2377
DOE STACKS,9/15/17,1592
DOE STACKS,9/16/17,1407
DOE STACKS,9/17/17,1676
DOE STACKS,9/18/17,2780
DOE STACKS,9/19/17,2624
DOE STACKS,9/20/17,2765
DOE STACKS,9/21/17,2419
DOE STACKS,9/22/17,1776
DOE STACKS,9/23/17,1720
DOE STACKS,9/24/17,1922
DOE STACKS,9/25/17,3521
DOE STACKS,9/26/17,3484
DOE STACKS,9/27/17,3176
DOE STACKS,9/28/17,2536
DOE STACKS,9/29/17,1639
DOE STACKS,9/30/17,1857
DOE STACKS,10/1/17,1771
DOE STACKS,10/2/17,3036
DOE STACKS,10/3/17,2867
DOE STACKS,10/4/17,2859
DOE STACKS,10/5/17,2501
DOE STACKS,10/6/17,1666
DOE STACKS,10/7/17,1548
DOE STACKS,10/8/17,1600
DOE STACKS,10/9/17,2869
DOE STACKS,10/10/17,3110
DOE STACKS,10/11/17,3071
DOE STACKS,10/12/17,2344
DOE STACKS,10/13/17,1587
DOE STACKS,10/14/17,1545
DOE STACKS,10/15/17,1669
DOE STACKS,10/16/17,2868
DOE STACKS,10/17/17,2815
DOE STACKS,10/18/17,2647
DOE STACKS,10/19/17,2225
DOE STACKS,10/20/17,1700
DOE STACKS,10/21/17,1590
DOE STACKS,10/22/17,1660
DOE STACKS,10/23/17,2705
DOE STACKS,10/24/17,2965
DOE STACKS,10/25/17,3065
DOE STACKS,10/26/17,2606
DOE STACKS,10/27/17,1783
DOE STACKS,10/28/17,1570
DOE STACKS,10/29/17,1795
DOE STACKS,10/30/17,3016
DOE STACKS,10/31/17,2790
DOE STACKS,11/1/17,2761
DOE STACKS,11/2/17,2316
DOE STACKS,11/3/17,1727
DOE STACKS,11/4/17,1343
DOE STACKS,11/5/17,1653
DOE STACKS,11/6/17,2751
DOE STACKS,11/7/17,2392
DOE STACKS,11/8/17,2284
DOE STACKS,11/9/17,1619
DOE STACKS,11/10/17,15
DOE STACKS,11/11/17,20
DOE STACKS,11/12/17,1367
DOE STACKS,11/13/17,2515
DOE STACKS,11/14/17,2530
DOE STACKS,11/15/17,2383
DOE STACKS,11/16/17,1808
DOE STACKS,11/17/17,1366
DOE STACKS,11/18/17,884
DOE STACKS,11/19/17,1209
DOE STACKS,11/20/17,1845
DOE STACKS,11/21/17,1027
DOE STACKS,11/22/17,368
DOE STACKS,11/23/17,22
DOE STACKS,11/24/17,17
DOE STACKS,11/25/17,21
DOE STACKS,11/26/17,733
DOE STACKS,11/27/17,2613
DOE STACKS,11/28/17,2816
DOE STACKS,11/29/17,2950
DOE STACKS,11/30/17,2436
DOE STACKS,12/1/17,1787
DOE STACKS,12/2/17,1504
DOE STACKS,12/3/17,1342
DOE STACKS,12/4/17,2918
DOE STACKS,12/5/17,3277
DOE STACKS,12/6/17,3369
DOE STACKS,12/7/17,4104
DOE STACKS,12/8/17,3733
DOE STACKS,12/9/17,3961
DOE STACKS,12/10/17,3538
DOE STACKS,12/11/17,3488
DOE STACKS,12/12/17,3063
DOE STACKS,12/13/17,2692
DOE STACKS,12/14/17,1966
DOE STACKS,12/15/17,960
DOE STACKS,12/16/17,26
DOE STACKS,12/17/17,19
DOE STACKS,12/18/17,296
DOE STACKS,12/19/17,257
DOE STACKS,12/20/17,265
DOE STACKS,12/21/17,323
DOE STACKS,12/22/17,63
DOE STACKS,12/23/17,29
DOE STACKS,12/24/17,11
DOE STACKS,12/25/17,7
DOE STACKS,12/26/17,15
DOE STACKS,12/27/17,21
DOE STACKS,12/28/17,50
DOE STACKS,12/29/17,23
DOE STACKS,12/30/17,27
DOE STACKS,12/31/17,14
DOE STACKS,1/1/18,14
DOE STACKS,1/2/18,274
DOE STACKS,1/3/18,261
DOE STACKS,1/4/18,243
DOE STACKS,1/5/18,292
DOE STACKS,1/6/18,15
DOE STACKS,1/7/18,20
DOE STACKS,1/8/18,328
DOE STACKS,1/9/18,283
DOE STACKS,1/10/18,316
DOE STACKS,1/11/18,300
DOE STACKS,1/12/18,349
DOE STACKS,1/13/18,14
DOE STACKS,1/14/18,5
DOE STACKS,1/15/18,12
DOE STACKS,1/16/18,1215
DOE STACKS,1/17/18,1390
DOE STACKS,1/18/18,1278
DOE STACKS,1/19/18,996
DOE STACKS,1/20/18,722
DOE STACKS,1/21/18,797
DOE STACKS,1/22/18,1791
DOE STACKS,1/23/18,1539
DOE STACKS,1/24/18,1536
DOE STACKS,1/25/18,1666
DOE STACKS,1/26/18,1351
DOE STACKS,1/27/18,1076
DOE STACKS,1/28/18,1232
DOE STACKS,1/29/18,1925
DOE STACKS,1/30/18,1769
DOE STACKS,1/31/18,1871
DOE STACKS,2/1/18,1610
DOE STACKS,2/2/18,1233
DOE STACKS,2/3/18,1246
DOE STACKS,2/4/18,952
DOE STACKS,2/5/18,2270
DOE STACKS,2/6/18,1946
DOE STACKS,2/7/18,2156
DOE STACKS,2/8/18,2011
DOE STACKS,2/9/18,1371
DOE STACKS,2/10/18,1498
DOE STACKS,2/11/18,1489
DOE STACKS,2/12/18,2383
DOE STACKS,2/13/18,2340
DOE STACKS,2/14/18,2153
DOE STACKS,2/15/18,1878
DOE STACKS,2/16/18,1199
DOE STACKS,2/17/18,1024
DOE STACKS,2/18/18,1071
DOE STACKS,2/19/18,6
DOE STACKS,2/20/18,2159
DOE STACKS,2/21/18,2141
DOE STACKS,2/22/18,1998
DOE STACKS,2/23/18,1491
DOE STACKS,2/24/18,1371
DOE STACKS,2/25/18,1482
DOE STACKS,2/26/18,2304
DOE STACKS,2/27/18,2108
DOE STACKS,2/28/18,2412
DOE STACKS,3/1/18,1828
DOE STACKS,3/2/18,1317
DOE STACKS,3/3/18,1308
DOE STACKS,3/4/18,1208
DOE STACKS,3/5/18,2293
