Date-Time,Region,Facility,Entrance,Entries,Exits
7/5/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,233,232
7/5/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,952,44
7/5/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,13,778
7/5/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,876,954
7/5/18 12:00 AM,UC Berkeley,MORR Library,Morrison,263,242
7/5/18 12:00 AM,UC Berkeley,MUSI,MUSI,111,112
7/5/18 12:00 AM,UC Berkeley,NEWS Library,News,92,93
7/5/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,28,26
7/5/18 12:00 AM,UC Berkeley,PHYS Library,PHYS,0,0
7/5/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,15,24
7/5/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,13,13
7/5/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,35,33
7/6/18 12:00 AM,UC Berkeley,AHC Library,AHC Back,0,0
7/6/18 12:00 AM,UC Berkeley,AHC Library,AHC Front,0,0
7/6/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,422,382
7/6/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,149,203
7/6/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,144,87
7/6/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,75,81
7/6/18 12:00 AM,UC Berkeley,DOE Library,Doe North,961,911
7/6/18 12:00 AM,UC Berkeley,DOE Library,Doe South,688,707
7/6/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,163,156
7/6/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,227,252
7/6/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,240,232
7/6/18 12:00 AM,UC Berkeley,EART Library,Earth North,73,75
7/6/18 12:00 AM,UC Berkeley,EART Library,Earth South,66,66
7/6/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,164,156
7/6/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,181,186
7/6/18 12:00 AM,UC Berkeley,GRDS Library,GRAD,0,0
7/6/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,151,153
7/6/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,618,32
7/6/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,11,495
7/6/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,529,609
7/6/18 12:00 AM,UC Berkeley,MORR Library,Morrison,221,218
7/6/18 12:00 AM,UC Berkeley,MUSI,MUSI,75,75
7/6/18 12:00 AM,UC Berkeley,NEWS Library,News,79,76
7/6/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,18,17
7/6/18 12:00 AM,UC Berkeley,PHYS Library,PHYS,0,0
7/6/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,34,43
7/6/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,21,21
7/6/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,59,49
7/7/18 12:00 AM,UC Berkeley,AHC Library,AHC Back,0,0
7/7/18 12:00 AM,UC Berkeley,AHC Library,AHC Front,0,0
7/7/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,4,4
7/7/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,16,21
7/7/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,0,0
7/7/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,23,22
7/7/18 12:00 AM,UC Berkeley,DOE Library,Doe North,890,839
7/7/18 12:00 AM,UC Berkeley,DOE Library,Doe South,370,435
7/7/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,66,75
7/7/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,116,122
7/7/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,6,6
7/7/18 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/7/18 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/7/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,0,0
7/7/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,0,0
